FullName,Recency,Frequency,Monetary,Cluster
Jai Xavier,0,2496,1928969.83,2
Jai Yadav,0,2397,1824571.18,3
Jai Zutshi,0,2449,1838071.28,3
Krishna Agarwal,0,2598,2041982.96,2
Krishna Bhatia,1,2475,1970517.92,1
Krishna Chauhan,0,2530,1948367.25,2
Krishna Desai,0,2449,1868560.15,0
Krishna Gupta,0,2491,1945074.18,2
Krishna Iyer,0,2440,1884408.24,0
Krishna Jain,0,2460,1870853.82,0
Krishna Khanna,0,2448,1899279.54,0
Krishna Kumar,0,2512,1888035.59,0
Krishna Lal,0,2462,1905369.66,0
Krishna Mehta,0,2429,1869019.47,0
Krishna Patel,0,2463,1961853.32,2
Krishna Rao,0,2485,1903307.85,0
Krishna Sharma,0,2486,1899353.24,0
Krishna Singh,0,2493,1910462.13,0
Krishna Verma,0,2429,1824026.57,3
Krishna Wadhwa,0,2437,1872745.44,0
Krishna Xavier,0,2503,1907758.44,2
Krishna Yadav,0,2579,1960542.35,2
Krishna Zutshi,0,2449,1897898.14,0
Lakshmi Agarwal,0,2448,1868473.87,0
Lakshmi Bhatia,0,2383,1805460.08,3
Lakshmi Chauhan,0,2550,1936788.65,2
Lakshmi Desai,0,2481,1915951.82,0
Lakshmi Gupta,0,2467,1879943.74,0
Lakshmi Iyer,0,2424,1850433.09,3
Lakshmi Jain,0,2454,1844154.06,0
Lakshmi Khanna,0,2462,1837694.63,0
Lakshmi Kumar,0,2564,1929791.45,2
Lakshmi Lal,0,2534,1927250.95,2
Lakshmi Mehta,0,2431,1867009.73,0
Lakshmi Patel,0,2457,1924762.05,0
Lakshmi Rao,0,2516,1907703.78,2
Lakshmi Sharma,0,2463,1890238.72,0
Lakshmi Singh,0,2475,1880498.5,0
Lakshmi Verma,0,2468,1860448.32,0
Lakshmi Wadhwa,0,2467,1927190.86,0
Lakshmi Xavier,0,2429,1888560.73,0
Lakshmi Yadav,0,2431,1858441.13,3
Lakshmi Zutshi,0,2377,1814463.37,3
Mahesh Agarwal,0,2485,1856468.3,0
Mahesh Bhatia,0,2459,1897227.43,0
Mahesh Chauhan,0,2460,1863581.36,0
Mahesh Desai,0,2507,1877129.65,0
Mahesh Gupta,1,2419,1876289.4,1
Mahesh Iyer,0,2538,1920447.24,2
Mahesh Jain,0,2482,1853462.97,0
Mahesh Khanna,0,2518,1918254.42,2
Mahesh Kumar,0,2400,1845763.71,3
Mahesh Lal,0,2470,1874581.71,0
Mahesh Mehta,0,2477,1869153.65,0
Mahesh Patel,0,2450,1873867.78,0
Mahesh Rao,0,2531,1946965.68,2
Mahesh Sharma,0,2461,1883453.3,0
Mahesh Singh,0,2457,1822469.94,3
Mahesh Verma,0,2360,1830999.58,3
Mahesh Wadhwa,0,2521,1949109.06,2
Mahesh Xavier,0,2445,1870560.53,0
Mahesh Yadav,0,2287,1755103.3,3
Mahesh Zutshi,0,2521,1932134.27,2
Nandini Agarwal,0,2450,1887256.68,0
Nandini Bhatia,0,2495,1919894.05,2
Nandini Chauhan,0,2529,1949406.06,2
Nandini Desai,0,2513,1946274.64,2
Nandini Gupta,0,2543,1975991.25,2
Nandini Iyer,0,2496,1885639.07,0
Nandini Jain,0,2535,1957387.82,2
Nandini Khanna,0,2543,1916344.25,2
Nandini Kumar,0,2484,1873604.23,0
Nandini Lal,0,2564,1983372.71,2
Nandini Mehta,0,2432,1847113.37,3
Nandini Patel,0,2463,1889173.79,0
Nandini Rao,0,2516,1883870.79,0
Nandini Sharma,0,2499,1916629.81,2
Nandini Singh,0,2449,1895546.61,0
Nandini Verma,0,2493,1962014.66,2
Nandini Wadhwa,0,2463,1842529.19,0
Nandini Xavier,0,2566,2018196.6,2
Nandini Yadav,0,2554,1935554.8,2
Nandini Zutshi,0,2482,1900970.57,0
Priya Agarwal,0,2488,1960442.42,2
Priya Bhatia,0,2466,1941851.61,0
Priya Chauhan,0,2423,1820055.08,3
Priya Desai,0,2439,1873108.7,0
Priya Gupta,0,2394,1848504.35,3
Priya Iyer,0,2463,1916705.44,0
Priya Jain,0,2527,1910164.07,2
Priya Khanna,0,2501,1939762.8,2
Priya Kumar,0,2558,1975404.3,2
Priya Lal,0,2487,1926278.07,2
Priya Mehta,0,2493,1866140.99,0
Priya Patel,0,2481,1871397.6,0
Priya Rao,0,2464,1902918.93,0
Priya Sharma,0,2423,1880132.11,0
Priya Singh,0,2489,1899449.62,0
Priya Verma,0,2483,1900979.47,0
Priya Wadhwa,0,2443,1859774.6,0
Priya Xavier,0,2429,1805956.79,3
Priya Yadav,0,2456,1883859.1,0
Priya Zutshi,0,2434,1869635.19,0
Rohan Agarwal,0,2416,1858800.2,3
Rohan Bhatia,0,2399,1813565.67,3
Rohan Chauhan,0,2411,1854751.1,3
Rohan Desai,0,2528,1950007.72,2
Rohan Gupta,0,2423,1829543.27,3
Rohan Iyer,0,2536,1969866.64,2
Rohan Jain,0,2396,1775626.06,3
Rohan Khanna,0,2446,1887152.62,0
Rohan Kumar,0,2447,1903323.76,0
Rohan Lal,0,2364,1832555.64,3
Rohan Mehta,0,2545,1945356.46,2
Rohan Patel,0,2398,1872385.56,3
Rohan Rao,0,2414,1881160.73,0
Rohan Sharma,0,2479,1909200.6,0
Rohan Singh,0,2485,1954605.03,2
Rohan Verma,0,2455,1910518.01,0
Rohan Wadhwa,0,2499,1907351.48,0
Rohan Xavier,0,2511,1927073.63,2
Rohan Yadav,0,2492,1934260.81,2
Rohan Zutshi,0,2481,1925026.22,0
Shreya Agarwal,0,2534,1937134.96,2
Shreya Bhatia,0,2479,1900787.28,0
Shreya Chauhan,0,2593,1949659.11,2
Shreya Desai,0,2413,1804768.65,3
Shreya Gupta,0,2458,1855870.35,0
Shreya Iyer,0,2463,1894903.63,0
Shreya Jain,0,2527,1917876.29,2
Shreya Khanna,0,2380,1779229.68,3
Shreya Kumar,0,2477,1918370.76,0
Shreya Lal,0,2519,1875618.65,0
Shreya Mehta,0,2346,1782481.81,3
Shreya Patel,0,2442,1793685.24,3
Shreya Rao,0,2559,1933763.69,2
Shreya Sharma,0,2345,1790181.96,3
Shreya Singh,0,2400,1808393.94,3
Shreya Verma,0,2454,1893870.46,0
Shreya Wadhwa,0,2489,1911975.34,0
Shreya Xavier,0,2495,1912611.93,0
Shreya Yadav,0,2399,1801950.74,3
Shreya Zutshi,0,2469,1855624.73,0
Tanvi Agarwal,0,2449,1836566.29,3
Tanvi Bhatia,0,2471,1856125.74,0
Tanvi Chauhan,0,2510,1903937.31,2
Tanvi Desai,0,2461,1898251.07,0
Tanvi Gupta,0,2505,1901068.92,0
Tanvi Iyer,0,2468,1974530.07,2
Tanvi Jain,0,2488,1849579.22,0
Tanvi Khanna,0,2555,1963854.26,2
Tanvi Kumar,0,2367,1845834.9,3
Tanvi Lal,0,2541,1970214.85,2
Tanvi Mehta,0,2434,1924413.36,0
Tanvi Patel,0,2477,1879462.06,0
Tanvi Rao,0,2496,1906701.22,0
Tanvi Sharma,0,2463,1930429.83,0
Tanvi Singh,0,2504,1902193.43,0
Tanvi Verma,0,2508,1938634.32,2
Tanvi Wadhwa,0,2483,1863443.93,0
Tanvi Xavier,0,2387,1799252.38,3
Tanvi Yadav,0,2506,1876908.58,0
Tanvi Zutshi,0,2477,1876492.77,0
Uday Agarwal,0,2462,1897434.8,0
Uday Bhatia,0,2406,1821965.9,3
Uday Chauhan,0,2412,1859825.16,3
Uday Desai,1,2579,1924646.58,1
Uday Gupta,0,2487,1884665.05,0
Uday Iyer,0,2409,1824168.99,3
Uday Jain,0,2448,1808739.65,3
Uday Khanna,0,2462,1910469.5,0
Uday Kumar,0,2570,1927290.64,2
Uday Lal,0,2511,1897927.79,0
Uday Mehta,0,2525,1983535.82,2
Uday Patel,0,2448,1897665.5,0
Uday Rao,0,2455,1867287.4,0
Uday Sharma,0,2399,1828410.52,3
Uday Singh,0,2566,1998003.48,2
Uday Verma,0,2531,1884604.19,2
Uday Wadhwa,0,2518,1971863.82,2
Uday Xavier,0,2460,1913144.63,0
Uday Yadav,0,2485,1928618.38,2
Uday Zutshi,0,2493,1892975.6,0
Vaibhav Agarwal,0,2431,1866003.63,0
Vaibhav Bhatia,0,2445,1877299.14,0
Vaibhav Chauhan,0,2508,1969603.87,2
Vaibhav Desai,0,2531,1977908.33,2
Vaibhav Gupta,0,2403,1821614.22,3
Vaibhav Iyer,0,2418,1863015.85,3
Vaibhav Jain,0,2441,1890152.46,0
Vaibhav Khanna,0,2403,1840189.44,3
Vaibhav Kumar,0,2444,1892127.34,0
Vaibhav Lal,0,2482,1919839.64,0
Vaibhav Mehta,0,2507,1918057.94,2
Vaibhav Patel,0,2467,1879375.2,0
Vaibhav Rao,0,2499,1940267.65,2
Vaibhav Sharma,0,2325,1738628.57,3
Vaibhav Singh,0,2456,1899485.4,0
Vaibhav Verma,0,2473,1884770.54,0
Vaibhav Wadhwa,0,2471,1888018.63,0
Vaibhav Xavier,0,2506,1915831.49,2
Vaibhav Yadav,0,2496,1960649.16,2
Vaibhav Zutshi,0,2460,1859607.55,0
Yash Agarwal,0,2421,1863822.97,3
Yash Bhatia,0,2485,1947715.65,2
Yash Chauhan,0,2512,1877872.37,0
Yash Desai,0,2602,1998225.34,2
Yash Gupta,0,2431,1879793.09,0
Yash Iyer,0,2518,1894646.42,2
Yash Jain,0,2554,1991054.01,2
Yash Khanna,0,2475,1925663.01,0
Yash Kumar,0,2496,1890561.7,0
Yash Lal,0,2521,1949293.81,2
Yash Mehta,0,2337,1800055.14,3
Yash Patel,0,2376,1764353.75,3
Yash Rao,1,2475,1875667.27,1
Yash Sharma,0,2427,1813688.77,3
Yash Singh,0,2492,1896824.58,0
Yash Verma,0,2458,1833140.86,3
Yash Wadhwa,0,2544,1929934.43,2
Yash Xavier,0,2550,1973607.06,2
Yash Yadav,0,2445,1872362.12,0
Yash Zutshi,0,2425,1823595.48,3
Zara Agarwal,0,2433,1905849.46,0
Zara Bhatia,0,2447,1867572.04,0
Zara Chauhan,0,2429,1856495.85,3
Zara Desai,0,2442,1932470.34,0
Zara Gupta,0,2479,1905344.02,0
Zara Iyer,0,2459,1865655.15,0
Zara Jain,0,2375,1792091.07,3
Zara Khanna,0,2463,1835794.49,0
Zara Kumar,0,2505,1912369.33,2
Zara Lal,0,2421,1834021.72,3
Zara Mehta,0,2461,1870621.3,0
Zara Patel,0,2516,1874521.22,0
Zara Rao,0,2488,1905999.13,0
Zara Sharma,0,2485,1875511.73,0
Zara Singh,0,2467,1920530.81,0
Zara Verma,0,2459,1912819.45,0
Zara Wadhwa,0,2466,1883389.43,0
Zara Xavier,0,2463,1892939.89,0
Zara Yadav,0,2454,1900325.1,0
Zara Zutshi,0,2454,1884171.89,0
