sale_date,product_id,quantity_sold,total_price,product_name,category,stock_quantity,unit_price,customer_id,name,created_at
2024-09-03,2,3,90.0,Bread,Bakery,300,30.0,22,Victor King,2025-02-20 16:48:00
2024-09-24,2,3,90.0,Bread,Bakery,300,30.0,33,George Fisher,2025-02-20 17:12:13
2024-09-11,2,1,30.0,Bread,Bakery,300,30.0,11,Katie Young,2025-02-20 16:48:00
2024-09-29,2,3,90.0,Bread,Bakery,300,30.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-08-11,2,1,30.0,Bread,Bakery,300,30.0,11,Katie Young,2025-02-20 16:48:00
2024-08-29,2,3,90.0,Bread,Bakery,300,30.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-08-02,2,3,90.0,Bread,Bakery,300,30.0,11,Katie Young,2025-02-20 16:48:00
2024-08-23,2,1,30.0,Bread,Bakery,300,30.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-08-11,2,3,90.0,Bread,Bakery,300,30.0,11,Katie Young,2025-02-20 16:48:00
2024-07-01,2,3,90.0,Bread,Bakery,300,30.0,1,Alice Johnson,2025-02-20 16:48:00
2024-07-23,2,3,90.0,Bread,Bakery,300,30.0,5,Emma Wilson,2025-02-20 16:48:00
2024-07-21,2,3,90.0,Bread,Bakery,300,30.0,32,Fiona Harper,2025-02-20 17:12:13
2024-12-02,3,1,45.0,Rice,Grocery,400,45.0,3,Charlie Brown,2025-02-20 16:48:00
2024-12-07,3,5,225.0,Rice,Grocery,400,45.0,13,Mia Scott,2025-02-20 16:48:00
2024-12-12,3,4,180.0,Rice,Grocery,400,45.0,23,Wendy Garcia,2025-02-20 16:48:00
2024-12-17,3,2,90.0,Rice,Grocery,400,45.0,3,Charlie Brown,2025-02-20 16:48:00
2024-12-22,3,5,225.0,Rice,Grocery,400,45.0,13,Mia Scott,2025-02-20 16:48:00
2025-01-02,3,2,90.0,Rice,Grocery,400,45.0,3,Charlie Brown,2025-02-20 16:48:00
2025-01-07,3,3,135.0,Rice,Grocery,400,45.0,13,Mia Scott,2025-02-20 16:48:00
2025-01-12,3,2,90.0,Rice,Grocery,400,45.0,7,Grace Miller,2025-02-20 16:48:00
2025-01-17,3,4,180.0,Rice,Grocery,400,45.0,19,Sophia Martin,2025-02-20 16:48:00
2025-01-22,3,1,45.0,Rice,Grocery,400,45.0,29,Catherine Lee,2025-02-20 16:48:00
2025-02-01,3,2,90.0,Rice,Grocery,400,45.0,2,Bob Smith,2025-02-20 16:48:00
2025-02-06,3,5,225.0,Rice,Grocery,400,45.0,12,Liam Turner,2025-02-20 16:48:00
2025-02-11,3,5,225.0,Rice,Grocery,400,45.0,1,Alice Johnson,2025-02-20 16:48:00
2025-02-16,3,6,270.0,Rice,Grocery,400,45.0,11,Katie Young,2025-02-20 16:48:00
2025-02-21,3,2,90.0,Rice,Grocery,400,45.0,1,Alice Johnson,2025-02-20 16:48:00
2024-11-06,3,1,45.0,Rice,Grocery,400,45.0,17,Quinn Perez,2025-02-20 16:48:00
2024-11-30,3,3,135.0,Rice,Grocery,400,45.0,38,Laura Bennett,2025-02-20 17:12:13
2024-11-24,3,1,45.0,Rice,Grocery,400,45.0,4,David Williams,2025-02-20 16:48:00
2024-11-03,3,1,45.0,Rice,Grocery,400,45.0,33,George Fisher,2025-02-20 17:12:13
2024-11-06,3,3,135.0,Rice,Grocery,400,45.0,29,Catherine Lee,2025-02-20 16:48:00
2024-11-27,3,2,90.0,Rice,Grocery,400,45.0,23,Wendy Garcia,2025-02-20 16:48:00
2024-11-25,3,1,45.0,Rice,Grocery,400,45.0,27,Amber Cox,2025-02-20 16:48:00
2024-11-16,3,3,135.0,Rice,Grocery,400,45.0,14,Noah Carter,2025-02-20 16:48:00
2024-11-02,3,3,135.0,Rice,Grocery,400,45.0,33,George Fisher,2025-02-20 17:12:13
2024-11-04,3,1,45.0,Rice,Grocery,400,45.0,25,Yvonne Rodriguez,2025-02-20 16:48:00
2024-11-06,3,3,135.0,Rice,Grocery,400,45.0,3,Charlie Brown,2025-02-20 16:48:00
2024-11-23,3,2,90.0,Rice,Grocery,400,45.0,28,Brian Rivera,2025-02-20 16:48:00
2024-11-26,3,1,45.0,Rice,Grocery,400,45.0,38,Laura Bennett,2025-02-20 17:12:13
2024-11-22,3,2,90.0,Rice,Grocery,400,45.0,35,Ian Porter,2025-02-20 17:12:13
2024-10-02,3,2,90.0,Rice,Grocery,400,45.0,1,Alice Johnson,2025-02-20 16:48:00
2024-10-27,3,3,135.0,Rice,Grocery,400,45.0,17,Quinn Perez,2025-02-20 16:48:00
2024-10-08,3,2,90.0,Rice,Grocery,400,45.0,26,Zachary Bennett,2025-02-20 16:48:00
2024-10-29,3,2,90.0,Rice,Grocery,400,45.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-09-02,3,2,90.0,Rice,Grocery,400,45.0,1,Alice Johnson,2025-02-20 16:48:00
2024-09-27,3,3,135.0,Rice,Grocery,400,45.0,17,Quinn Perez,2025-02-20 16:48:00
2024-09-10,3,2,90.0,Rice,Grocery,400,45.0,26,Zachary Bennett,2025-02-20 16:48:00
2024-09-02,3,3,135.0,Rice,Grocery,400,45.0,2,Bob Smith,2025-02-20 16:48:00
2024-09-29,3,2,90.0,Rice,Grocery,400,45.0,29,Catherine Lee,2025-02-20 16:48:00
2024-08-02,3,3,135.0,Rice,Grocery,400,45.0,2,Bob Smith,2025-02-20 16:48:00
2024-08-29,3,2,90.0,Rice,Grocery,400,45.0,29,Catherine Lee,2025-02-20 16:48:00
2024-08-06,3,2,90.0,Rice,Grocery,400,45.0,2,Bob Smith,2025-02-20 16:48:00
2024-08-07,3,4,180.0,Rice,Grocery,400,45.0,29,Catherine Lee,2025-02-20 16:48:00
2024-08-02,3,2,90.0,Rice,Grocery,400,45.0,2,Bob Smith,2025-02-20 16:48:00
2024-08-29,3,4,180.0,Rice,Grocery,400,45.0,29,Catherine Lee,2025-02-20 16:48:00
2024-07-06,3,2,90.0,Rice,Grocery,400,45.0,11,Katie Young,2025-02-20 16:48:00
2024-07-15,3,4,180.0,Rice,Grocery,400,45.0,28,Brian Rivera,2025-02-20 16:48:00
2024-07-28,3,4,180.0,Rice,Grocery,400,45.0,14,Noah Carter,2025-02-20 16:48:00
2024-07-30,3,4,180.0,Rice,Grocery,400,45.0,23,Wendy Garcia,2025-02-20 16:48:00
2024-12-02,4,5,175.0,Sugar,Grocery,250,35.0,4,David Williams,2025-02-20 16:48:00
2024-12-07,4,6,210.0,Sugar,Grocery,250,35.0,14,Noah Carter,2025-02-20 16:48:00
2024-12-12,4,1,35.0,Sugar,Grocery,250,35.0,24,Xavier Moore,2025-02-20 16:48:00
2024-12-17,4,3,105.0,Sugar,Grocery,250,35.0,4,David Williams,2025-02-20 16:48:00
2024-12-22,4,6,210.0,Sugar,Grocery,250,35.0,14,Noah Carter,2025-02-20 16:48:00
2025-01-02,4,5,175.0,Sugar,Grocery,250,35.0,4,David Williams,2025-02-20 16:48:00
2025-01-07,4,4,140.0,Sugar,Grocery,250,35.0,14,Noah Carter,2025-02-20 16:48:00
2025-01-12,4,4,140.0,Sugar,Grocery,250,35.0,9,Isabella Hall,2025-02-20 16:48:00
2025-01-17,4,1,35.0,Sugar,Grocery,250,35.0,20,Thomas White,2025-02-20 16:48:00
2025-01-22,4,5,175.0,Sugar,Grocery,250,35.0,30,Daniel Phillips,2025-02-20 16:48:00
2025-02-02,4,4,140.0,Sugar,Grocery,250,35.0,3,Charlie Brown,2025-02-20 16:48:00
2025-02-07,4,1,35.0,Sugar,Grocery,250,35.0,13,Mia Scott,2025-02-20 16:48:00
2025-02-11,4,4,140.0,Sugar,Grocery,250,35.0,2,Bob Smith,2025-02-20 16:48:00
2025-02-16,4,1,35.0,Sugar,Grocery,250,35.0,12,Liam Turner,2025-02-20 16:48:00
2025-02-21,4,3,105.0,Sugar,Grocery,250,35.0,2,Bob Smith,2025-02-20 16:48:00
2024-11-11,4,2,70.0,Sugar,Grocery,250,35.0,14,Noah Carter,2025-02-20 16:48:00
2024-11-16,4,2,70.0,Sugar,Grocery,250,35.0,35,Ian Porter,2025-02-20 17:12:13
2024-11-10,4,3,105.0,Sugar,Grocery,250,35.0,19,Sophia Martin,2025-02-20 16:48:00
2024-11-06,4,2,70.0,Sugar,Grocery,250,35.0,10,Jack Allen,2025-02-20 16:48:00
2024-11-30,4,3,105.0,Sugar,Grocery,250,35.0,32,Fiona Harper,2025-02-20 17:12:13
2024-11-30,4,2,70.0,Sugar,Grocery,250,35.0,39,Michael Foster,2025-02-20 17:12:13
2024-11-28,4,2,70.0,Sugar,Grocery,250,35.0,12,Liam Turner,2025-02-20 16:48:00
2024-11-30,4,1,35.0,Sugar,Grocery,250,35.0,19,Sophia Martin,2025-02-20 16:48:00
2024-10-11,4,5,175.0,Sugar,Grocery,250,35.0,7,Grace Miller,2025-02-20 16:48:00
2024-10-29,4,2,70.0,Sugar,Grocery,250,35.0,19,Sophia Martin,2025-02-20 16:48:00
2024-10-16,4,1,35.0,Sugar,Grocery,250,35.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-09-11,4,5,175.0,Sugar,Grocery,250,35.0,7,Grace Miller,2025-02-20 16:48:00
2024-09-29,4,2,70.0,Sugar,Grocery,250,35.0,19,Sophia Martin,2025-02-20 16:48:00
2024-09-18,4,1,35.0,Sugar,Grocery,250,35.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-09-12,4,3,105.0,Sugar,Grocery,250,35.0,12,Liam Turner,2025-02-20 16:48:00
2024-09-30,4,2,70.0,Sugar,Grocery,250,35.0,38,Laura Bennett,2025-02-20 17:12:13
2024-08-12,4,3,105.0,Sugar,Grocery,250,35.0,12,Liam Turner,2025-02-20 16:48:00
2024-08-30,4,2,70.0,Sugar,Grocery,250,35.0,38,Laura Bennett,2025-02-20 17:12:13
2024-08-04,4,1,35.0,Sugar,Grocery,250,35.0,12,Liam Turner,2025-02-20 16:48:00
2024-08-25,4,3,105.0,Sugar,Grocery,250,35.0,38,Laura Bennett,2025-02-20 17:12:13
2024-08-12,4,1,35.0,Sugar,Grocery,250,35.0,12,Liam Turner,2025-02-20 16:48:00
2024-07-19,4,2,70.0,Sugar,Grocery,250,35.0,36,Jessica Reed,2025-02-20 17:12:13
2024-12-03,5,6,36.0,Eggs,Poultry,600,6.0,5,Emma Wilson,2025-02-20 16:48:00
2024-12-08,5,2,12.0,Eggs,Poultry,600,6.0,15,Olivia Adams,2025-02-20 16:48:00
2024-12-13,5,5,30.0,Eggs,Poultry,600,6.0,25,Yvonne Rodriguez,2025-02-20 16:48:00
2024-12-18,5,4,24.0,Eggs,Poultry,600,6.0,5,Emma Wilson,2025-02-20 16:48:00
2024-12-23,5,2,12.0,Eggs,Poultry,600,6.0,15,Olivia Adams,2025-02-20 16:48:00
2025-01-03,5,1,6.0,Eggs,Poultry,600,6.0,5,Emma Wilson,2025-02-20 16:48:00
2025-01-08,5,2,12.0,Eggs,Poultry,600,6.0,15,Olivia Adams,2025-02-20 16:48:00
2025-01-13,5,5,30.0,Eggs,Poultry,600,6.0,2,Bob Smith,2025-02-20 16:48:00
2025-01-18,5,5,30.0,Eggs,Poultry,600,6.0,21,Uma Thompson,2025-02-20 16:48:00
2025-01-23,5,4,24.0,Eggs,Poultry,600,6.0,31,Ethan Brooks,2025-02-20 17:12:13
2025-02-02,5,1,6.0,Eggs,Poultry,600,6.0,4,David Williams,2025-02-20 16:48:00
2025-02-07,5,3,18.0,Eggs,Poultry,600,6.0,14,Noah Carter,2025-02-20 16:48:00
2025-02-12,5,3,18.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2025-02-17,5,3,18.0,Eggs,Poultry,600,6.0,13,Mia Scott,2025-02-20 16:48:00
2025-02-22,5,4,24.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-11-28,5,2,12.0,Eggs,Poultry,600,6.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-11-18,5,2,12.0,Eggs,Poultry,600,6.0,2,Bob Smith,2025-02-20 16:48:00
2024-11-05,5,2,12.0,Eggs,Poultry,600,6.0,13,Mia Scott,2025-02-20 16:48:00
2024-11-20,5,1,6.0,Eggs,Poultry,600,6.0,39,Michael Foster,2025-02-20 17:12:13
2024-11-03,5,1,6.0,Eggs,Poultry,600,6.0,33,George Fisher,2025-02-20 17:12:13
2024-11-19,5,1,6.0,Eggs,Poultry,600,6.0,36,Jessica Reed,2025-02-20 17:12:13
2024-11-20,5,1,6.0,Eggs,Poultry,600,6.0,29,Catherine Lee,2025-02-20 16:48:00
2024-11-05,5,2,12.0,Eggs,Poultry,600,6.0,34,Hannah Stewart,2025-02-20 17:12:13
2024-11-29,5,3,18.0,Eggs,Poultry,600,6.0,40,Natalie Cooper,2025-02-20 17:12:13
2024-10-05,5,12,72.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-10-26,5,10,60.0,Eggs,Poultry,600,6.0,16,Paul Baker,2025-02-20 16:48:00
2024-10-07,5,8,48.0,Eggs,Poultry,600,6.0,25,Yvonne Rodriguez,2025-02-20 16:48:00
2024-10-22,5,10,60.0,Eggs,Poultry,600,6.0,33,George Fisher,2025-02-20 17:12:13
2024-09-05,5,12,72.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-09-26,5,10,60.0,Eggs,Poultry,600,6.0,16,Paul Baker,2025-02-20 16:48:00
2024-09-09,5,8,48.0,Eggs,Poultry,600,6.0,25,Yvonne Rodriguez,2025-02-20 16:48:00
2024-09-24,5,10,60.0,Eggs,Poultry,600,6.0,33,George Fisher,2025-02-20 17:12:13
2024-09-03,5,6,36.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-09-21,5,10,60.0,Eggs,Poultry,600,6.0,21,Uma Thompson,2025-02-20 16:48:00
2024-09-22,5,8,48.0,Eggs,Poultry,600,6.0,40,Natalie Cooper,2025-02-20 17:12:13
2024-08-03,5,6,36.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-08-21,5,10,60.0,Eggs,Poultry,600,6.0,21,Uma Thompson,2025-02-20 16:48:00
2024-08-22,5,8,48.0,Eggs,Poultry,600,6.0,40,Natalie Cooper,2025-02-20 17:12:13
2024-08-09,5,4,24.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-08-22,5,6,36.0,Eggs,Poultry,600,6.0,21,Uma Thompson,2025-02-20 16:48:00
2024-08-29,5,5,30.0,Eggs,Poultry,600,6.0,40,Natalie Cooper,2025-02-20 17:12:13
2024-08-03,5,4,24.0,Eggs,Poultry,600,6.0,3,Charlie Brown,2025-02-20 16:48:00
2024-08-21,5,6,36.0,Eggs,Poultry,600,6.0,21,Uma Thompson,2025-02-20 16:48:00
2024-07-02,5,4,24.0,Eggs,Poultry,600,6.0,2,Bob Smith,2025-02-20 16:48:00
2024-07-07,5,1,6.0,Eggs,Poultry,600,6.0,12,Liam Turner,2025-02-20 16:48:00
2024-07-24,5,2,12.0,Eggs,Poultry,600,6.0,6,Frank Harris,2025-02-20 16:48:00
2024-07-20,5,2,12.0,Eggs,Poultry,600,6.0,33,George Fisher,2025-02-20 17:12:13
2024-12-03,6,2,160.0,Butter,Dairy,150,80.0,6,Frank Harris,2025-02-20 16:48:00
2024-12-08,6,3,240.0,Butter,Dairy,150,80.0,16,Paul Baker,2025-02-20 16:48:00
2024-12-13,6,6,480.0,Butter,Dairy,150,80.0,26,Zachary Bennett,2025-02-20 16:48:00
2024-12-18,6,1,80.0,Butter,Dairy,150,80.0,6,Frank Harris,2025-02-20 16:48:00
2024-12-23,6,3,240.0,Butter,Dairy,150,80.0,16,Paul Baker,2025-02-20 16:48:00
2025-01-03,6,3,240.0,Butter,Dairy,150,80.0,6,Frank Harris,2025-02-20 16:48:00
2025-01-08,6,5,400.0,Butter,Dairy,150,80.0,16,Paul Baker,2025-02-20 16:48:00
2025-01-13,6,3,240.0,Butter,Dairy,150,80.0,4,David Williams,2025-02-20 16:48:00
2025-01-18,6,2,160.0,Butter,Dairy,150,80.0,22,Victor King,2025-02-20 16:48:00
2025-01-23,6,3,240.0,Butter,Dairy,150,80.0,32,Fiona Harper,2025-02-20 17:12:13
2025-02-03,6,5,400.0,Butter,Dairy,150,80.0,5,Emma Wilson,2025-02-20 16:48:00
2025-02-08,6,2,160.0,Butter,Dairy,150,80.0,15,Olivia Adams,2025-02-20 16:48:00
2025-02-12,6,2,160.0,Butter,Dairy,150,80.0,4,David Williams,2025-02-20 16:48:00
2025-02-17,6,5,400.0,Butter,Dairy,150,80.0,14,Noah Carter,2025-02-20 16:48:00
2025-02-22,6,5,400.0,Butter,Dairy,150,80.0,4,David Williams,2025-02-20 16:48:00
2024-11-22,6,2,160.0,Butter,Dairy,150,80.0,6,Frank Harris,2025-02-20 16:48:00
2024-11-29,6,1,80.0,Butter,Dairy,150,80.0,1,Alice Johnson,2025-02-20 16:48:00
2024-11-12,6,3,240.0,Butter,Dairy,150,80.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-10-07,6,2,160.0,Butter,Dairy,150,80.0,4,David Williams,2025-02-20 16:48:00
2024-10-28,6,3,240.0,Butter,Dairy,150,80.0,18,Ryan Lewis,2025-02-20 16:48:00
2024-10-14,6,1,80.0,Butter,Dairy,150,80.0,29,Catherine Lee,2025-02-20 16:48:00
2024-10-28,6,2,160.0,Butter,Dairy,150,80.0,36,Jessica Reed,2025-02-20 17:12:13
2024-09-07,6,2,160.0,Butter,Dairy,150,80.0,4,David Williams,2025-02-20 16:48:00
2024-09-28,6,3,240.0,Butter,Dairy,150,80.0,18,Ryan Lewis,2025-02-20 16:48:00
2024-09-16,6,1,80.0,Butter,Dairy,150,80.0,29,Catherine Lee,2025-02-20 16:48:00
2024-09-13,6,2,160.0,Butter,Dairy,150,80.0,13,Mia Scott,2025-02-20 16:48:00
2024-09-30,6,1,80.0,Butter,Dairy,150,80.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-08-13,6,2,160.0,Butter,Dairy,150,80.0,13,Mia Scott,2025-02-20 16:48:00
2024-08-30,6,1,80.0,Butter,Dairy,150,80.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-08-06,6,4,320.0,Butter,Dairy,150,80.0,13,Mia Scott,2025-02-20 16:48:00
2024-08-09,6,2,160.0,Butter,Dairy,150,80.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-08-13,6,4,320.0,Butter,Dairy,150,80.0,13,Mia Scott,2025-02-20 16:48:00
2024-08-30,6,2,160.0,Butter,Dairy,150,80.0,30,Daniel Phillips,2025-02-20 16:48:00
2024-07-11,6,4,320.0,Butter,Dairy,150,80.0,20,Thomas White,2025-02-20 16:48:00
2024-07-15,6,2,160.0,Butter,Dairy,150,80.0,29,Catherine Lee,2025-02-20 16:48:00
2024-07-19,6,3,240.0,Butter,Dairy,150,80.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-07-28,6,2,160.0,Butter,Dairy,150,80.0,15,Olivia Adams,2025-02-20 16:48:00
2024-07-29,6,3,240.0,Butter,Dairy,150,80.0,24,Xavier Moore,2025-02-20 16:48:00
2024-12-04,7,3,120.0,Flour,Grocery,350,40.0,7,Grace Miller,2025-02-20 16:48:00
2024-12-09,7,1,40.0,Flour,Grocery,350,40.0,17,Quinn Perez,2025-02-20 16:48:00
2024-12-14,7,2,80.0,Flour,Grocery,350,40.0,27,Amber Cox,2025-02-20 16:48:00
2024-12-19,7,5,200.0,Flour,Grocery,350,40.0,7,Grace Miller,2025-02-20 16:48:00
2024-12-24,7,4,160.0,Flour,Grocery,350,40.0,17,Quinn Perez,2025-02-20 16:48:00
2025-01-04,7,4,160.0,Flour,Grocery,350,40.0,7,Grace Miller,2025-02-20 16:48:00
2025-01-09,7,3,120.0,Flour,Grocery,350,40.0,17,Quinn Perez,2025-02-20 16:48:00
2025-01-14,7,1,40.0,Flour,Grocery,350,40.0,6,Frank Harris,2025-02-20 16:48:00
2025-01-19,7,3,120.0,Flour,Grocery,350,40.0,23,Wendy Garcia,2025-02-20 16:48:00
2025-01-24,7,2,80.0,Flour,Grocery,350,40.0,33,George Fisher,2025-02-20 17:12:13
2025-02-03,7,3,120.0,Flour,Grocery,350,40.0,6,Frank Harris,2025-02-20 16:48:00
2025-02-08,7,4,160.0,Flour,Grocery,350,40.0,16,Paul Baker,2025-02-20 16:48:00
2025-02-13,7,5,200.0,Flour,Grocery,350,40.0,5,Emma Wilson,2025-02-20 16:48:00
2025-02-18,7,2,80.0,Flour,Grocery,350,40.0,15,Olivia Adams,2025-02-20 16:48:00
2025-02-23,7,2,80.0,Flour,Grocery,350,40.0,5,Emma Wilson,2025-02-20 16:48:00
2024-11-05,7,1,40.0,Flour,Grocery,350,40.0,37,Kevin Simmons,2025-02-20 17:12:13
2024-11-28,7,2,80.0,Flour,Grocery,350,40.0,36,Jessica Reed,2025-02-20 17:12:13
2024-11-17,7,2,80.0,Flour,Grocery,350,40.0,26,Zachary Bennett,2025-02-20 16:48:00
2024-11-12,7,3,120.0,Flour,Grocery,350,40.0,28,Brian Rivera,2025-02-20 16:48:00
2024-11-07,7,3,120.0,Flour,Grocery,350,40.0,6,Frank Harris,2025-02-20 16:48:00
2024-11-22,7,2,80.0,Flour,Grocery,350,40.0,26,Zachary Bennett,2025-02-20 16:48:00
2024-11-09,7,3,120.0,Flour,Grocery,350,40.0,29,Catherine Lee,2025-02-20 16:48:00
2024-11-09,7,3,120.0,Flour,Grocery,350,40.0,22,Victor King,2025-02-20 16:48:00
